[GIN] 2026/09/10 - 22:40:04 | 200 |      1.0203ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/10 - 23:18:55 | 200 |      1.0341ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/10 - 23:18:55 | 200 |     36.7344ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/10 - 23:18:55 | 200 |     134.486ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/10 - 23:26:01 | 200 |   40.7731261s |       127.0.0.1 | POST     "/api/generate"
[GIN] 2026/09/10 - 23:31:10 | 200 |      1.0293ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 00:28:51 | 200 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2026/09/11 - 00:29:15 | 200 |   23.7202377s |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/09/11 - 00:29:15 | 200 |       525.6µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 00:29:15 | 200 |      2.0745ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 00:29:15 | 200 |      1.5781ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 00:29:15 | 200 |      2.0989ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 00:29:18 | 200 |    2.5028646s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 00:29:19 | 200 |    979.9351ms |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 00:29:19 | 200 |      1.0436ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 00:29:19 | 200 |      2.0836ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 00:29:19 | 200 |      2.7209ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 00:29:19 | 200 |      2.7209ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 00:29:22 | 200 |    3.3471568s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 00:29:23 | 200 |    1.0526857s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 00:59:01 | 200 |       522.3µs |       127.0.0.1 | GET      "/"
[GIN] 2026/09/11 - 00:59:02 | 200 |    1.1643599s |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/09/11 - 00:59:02 | 200 |       519.5µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 00:59:02 | 200 |      1.5616ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 00:59:02 | 200 |      2.6086ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 00:59:02 | 200 |       2.611ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 00:59:05 | 200 |    2.5379813s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 00:59:06 | 200 |    1.0153164s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 00:59:06 | 200 |       508.9µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 00:59:06 | 200 |      1.6366ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 00:59:06 | 200 |      2.0667ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 00:59:06 | 200 |      2.0667ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 00:59:08 | 200 |    1.6613786s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 00:59:09 | 200 |    1.0178764s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 00:59:09 | 200 |      1.0198ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 00:59:09 | 200 |      1.5488ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 00:59:09 | 200 |      1.5488ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 00:59:09 | 200 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2026/09/11 - 00:59:09 | 200 |     37.8556ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/09/11 - 00:59:10 | 200 |    874.1246ms |       127.0.0.1 | POST     "/api/chat"
