[GIN] 2026/09/11 - 12:25:31 | 200 |      7.9711ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 12:25:31 | 200 |     41.8418ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 12:25:31 | 200 |    134.0388ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 12:27:32 | 200 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2026/09/11 - 12:27:34 | 200 |    1.6494995s |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/09/11 - 12:27:34 | 200 |      1.0417ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 12:27:34 | 200 |      1.5575ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 12:27:34 | 200 |      1.5425ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 12:27:34 | 200 |      2.5802ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 12:27:41 | 200 |    7.3685963s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 12:27:42 | 200 |    874.9461ms |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 12:27:42 | 200 |      1.0387ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 12:27:42 | 200 |      1.5527ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 12:27:42 | 200 |      2.1164ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 12:27:42 | 200 |       2.125ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 12:27:44 | 200 |    1.4062596s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 12:27:46 | 200 |    1.7316461s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 12:27:46 | 200 |      1.0303ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 12:27:46 | 200 |      1.5467ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 12:27:46 | 200 |      2.0646ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 12:27:46 | 200 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2026/09/11 - 12:27:46 | 200 |     35.3779ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/09/11 - 12:27:47 | 200 |    896.3291ms |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 12:59:23 | 200 |      2.0692ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 13:00:49 | 200 |       521.5µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 13:00:49 | 200 |       1.555ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 13:00:49 | 200 |      1.5554ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 13:31:47 | 200 |       1.642ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 13:31:56 | 200 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2026/09/11 - 13:31:59 | 200 |    3.3966479s |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/09/11 - 13:31:59 | 200 |      1.0255ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 13:31:59 | 200 |      2.5289ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 13:31:59 | 200 |      2.6843ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 13:31:59 | 200 |      1.0314ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 13:32:07 | 200 |    7.8044522s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 13:32:08 | 200 |    1.0496415s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 13:32:08 | 200 |       515.1µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 13:32:08 | 200 |       1.552ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 13:32:08 | 200 |      2.9555ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 13:32:08 | 200 |      3.4659ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 13:32:11 | 200 |    2.2819641s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 13:32:12 | 200 |    1.7531559s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/11 - 13:32:12 | 200 |       617.2µs |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/11 - 13:32:12 | 200 |      2.0803ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 13:32:12 | 200 |      2.0803ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/11 - 13:32:12 | 200 |            0s |       127.0.0.1 | GET      "/"
[GIN] 2026/09/11 - 13:32:13 | 200 |     29.4575ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/09/11 - 13:32:14 | 200 |    852.2626ms |       127.0.0.1 | POST     "/api/chat"
